epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.319,0.77822,2.23007,1.42028,0.73189,0.25036,0.34038,0.03952,3.61917,5.64707,3.03719,0.000544327,0.000544327,0.000544327
2,697.899,0.48098,1.46971,1.18211,0.54017,0.41963,0.39619,0.28365,1.25053,3.05235,1.6249,0.0010891,0.0010891,0.0010891
3,1038.64,0.43869,1.24178,1.12669,0.57278,0.03289,0.00915,0.00164,5.37185,5.2488,6.09286,0.00162288,0.00162288,0.00162288
4,1349.46,0.40379,1.11362,1.10665,0.85153,0.84691,0.8494,0.847,0.33925,1.22517,0.57993,0.00161749,0.00161749,0.00161749
5,1676.67,0.41141,1.0479,1.11725,0.85216,0.41573,0.44433,0.28763,1.39088,3.46477,1.44378,0.00160099,0.00160099,0.00160099
6,1976.83,0.34385,0.93764,1.04976,0.47386,0.30411,0.3601,0.24821,1.95086,2.53389,2.72428,0.00158448,0.00158448,0.00158448
7,2316.51,0.30629,0.8594,1.03092,0.55584,0.7961,0.6781,0.4925,0.88044,1.68086,1.14645,0.00156798,0.00156798,0.00156798
8,2623.29,0.29499,0.84568,1.02746,0.71822,0.61103,0.53373,0.28923,1.77434,2.01547,2.38219,0.00155148,0.00155148,0.00155148
9,2929.88,0.29745,0.79712,1.0388,0.57177,0.49895,0.30902,0.14544,1.54756,3.40549,1.83707,0.00153497,0.00153497,0.00153497
10,3251.94,0.28277,0.77319,1.02146,0.46632,0.18983,0.27605,0.25466,0.897,4.00241,1.32644,0.00151847,0.00151847,0.00151847
11,3588.52,0.27875,0.76103,1.02525,0.54567,0.91654,0.74603,0.64411,0.59119,1.22882,0.76171,0.00150197,0.00150197,0.00150197
12,3925.84,0.25184,0.71396,0.99079,0.74394,0.87137,0.91197,0.91107,0.40414,1.60904,0.56181,0.00148546,0.00148546,0.00148546
13,4224.53,0.25515,0.73476,1.00905,0.83305,0.88524,0.92822,0.92822,0.21661,0.69702,0.36888,0.00146896,0.00146896,0.00146896
14,4506.58,0.24295,0.70288,1.0005,0.7762,0.82363,0.84376,0.7526,0.56461,1.1128,0.7112,0.00145246,0.00145246,0.00145246
15,4778.88,0.24083,0.72452,1.0025,0.32594,0.25517,0.2385,0.21081,1.98957,4.37762,2.2117,0.00143595,0.00143595,0.00143595
16,5050.85,0.23115,0.67527,0.98613,0.80423,0.82208,0.88267,0.88199,0.3807,1.32372,0.53092,0.00141945,0.00141945,0.00141945
17,5336.18,0.2295,0.67668,0.98419,0.70267,0.58234,0.76078,0.49593,1.32486,2.3754,1.73618,0.00140295,0.00140295,0.00140295
18,5612.77,0.22353,0.67634,0.98515,0.77856,0.909,0.89827,0.89245,0.41831,0.76553,0.57356,0.00138644,0.00138644,0.00138644
19,5885.4,0.22501,0.65056,0.9828,0.72709,0.88816,0.92154,0.92099,0.43823,1.09988,0.52585,0.00136994,0.00136994,0.00136994
20,6158.6,0.20979,0.6491,0.97731,0.67575,0.79882,0.86346,0.83396,0.341,1.38509,0.46536,0.00135344,0.00135344,0.00135344
21,6430.92,0.19675,0.61037,0.96071,0.60283,0.91573,0.8986,0.8986,0.24279,1.19086,0.39051,0.00133693,0.00133693,0.00133693
22,6703.83,0.20329,0.62572,0.97082,0.66436,0.59076,0.63123,0.61134,0.4153,2.66278,0.53837,0.00132043,0.00132043,0.00132043
23,6995.65,0.20778,0.6062,0.96697,0.80161,0.62034,0.71518,0.63642,0.77868,1.94843,0.88403,0.00130393,0.00130393,0.00130393
24,7269.99,0.19218,0.62583,0.95322,0.78245,0.87964,0.97191,0.97191,0.21048,0.64626,0.35562,0.00128742,0.00128742,0.00128742
25,7544.73,0.18338,0.57297,0.95696,0.91214,0.94271,0.97722,0.97722,0.25666,0.53863,0.37208,0.00127092,0.00127092,0.00127092
26,7817.66,0.17822,0.59285,0.94897,0.89844,0.88685,0.95751,0.95629,0.22172,0.49658,0.31172,0.00125442,0.00125442,0.00125442
